value,timestamp
+0.02556551,2018-01-26 18:58
+0.02575049,2018-01-26 19:04
+0.03393428,2018-01-26 19:10
+0.03441264,2018-01-26 19:19
+0.0269524,2018-01-26 19:26
+0.02304661,2018-01-26 19:28
+0.02702648,2018-01-26 19:33
+0.02107338,2018-01-26 19:35
+0.0137506,2018-01-26 19:37
+0.03493195,2018-01-26 19:38
+0.07739682,2018-01-26 19:39
+0.03819899,2018-01-26 19:45
+0.02770338,2018-01-26 19:56
+0.03919558,2018-01-26 19:57
+0.02635762,2018-01-26 20:12
+0.03103484,2018-01-26 20:18
+0.03472931,2018-01-26 20:21
+0.03096709,2018-01-26 20:25
+0.04307293,2018-01-26 20:27
+0.02218813,2018-01-26 20:35
+0.03105183,2018-01-26 20:36
+0.09270209,2018-01-26 20:42
+0.02055296,2018-01-26 20:50
+0.02370002,2018-01-26 20:59
+0.01934815,2018-01-26 21:01
+0.03037597,2018-01-26 21:09
+0.03860989,2018-01-26 21:12
+0.02834532,2018-01-26 21:27
+0.02383855,2018-01-26 21:28
+0.02165245,2018-01-26 21:41
+0.02857484,2018-01-26 21:51
+0.01903215,2018-01-26 21:54
+0.03058681,2018-01-26 21:59
+0.01777681,2018-01-26 22:05
+0.03074508,2018-01-26 22:08
+0.03271013,2018-01-26 22:14
+0.02631879,2018-01-26 22:19
+0.02023679,2018-01-26 22:29
+0.02752248,2018-01-26 22:40
+0.04351093,2018-01-26 22:42
+0.01940244,2018-01-27 00:24
+0.01997068,2018-01-27 00:29
+0.03199947,2018-01-27 00:30
+0.02118198,2018-01-27 00:34
+0.01458828,2018-01-27 00:36
+0.02296526,2018-01-27 01:13
+0.0254126,2018-01-27 01:25
+0.02415007,2018-01-27 01:27
+0.01756174,2018-01-27 01:28
+0.02210696,2018-01-27 01:34
+0.02951185,2018-01-27 01:35
+0.03253938,2018-01-27 01:40
+0.02470116,2018-01-27 01:45
+0.02806466,2018-01-27 01:50
+0.02186872,2018-01-27 01:57
+0.02195268,2018-01-27 01:59
+0.01889614,2018-01-27 02:00
+0.02653545,2018-01-27 02:04
+0.03851376,2018-01-27 02:05
+0.02227853,2018-01-27 02:16
+0.01775515,2018-01-27 02:23
+0.02400805,2018-01-27 02:31
+0.0272208,2018-01-27 02:41
+0.03091472,2018-01-27 02:46
+0.04416806,2018-01-27 03:09
+0.02342057,2018-01-27 03:30
+0.02023973,2018-01-27 03:33
+0.0206702,2018-01-27 03:46
+0.02663386,2018-01-27 03:56
+0.01156766,2018-01-27 03:59
+0.02065726,2018-01-27 04:02
+0.02254793,2018-01-27 04:11
+0.02332777,2018-01-27 04:18
+0.02770767,2018-01-27 04:22
+0.06847091,2018-01-27 04:23
+0.07620109,2018-01-27 04:24
+0.02378581,2018-01-27 04:35
+0.0160695,2018-01-27 04:39
+0.02346329,2018-01-27 04:42
+0.01617419,2018-01-27 04:43
+0.02325608,2018-01-27 04:50
+0.0238096,2018-01-27 05:00
+0.02996446,2018-01-27 05:03
+0.01924534,2018-01-27 05:07
+0.01470066,2018-01-27 05:09
+0.03190005,2018-01-27 05:13
+0.0216726,2018-01-27 05:26
+0.01820986,2018-01-27 05:29
+0.01546061,2018-01-27 05:33
+0.03229749,2018-01-27 05:35
+0.03122614,2018-01-27 05:41
+0.02454643,2018-01-27 05:59
+0.02671758,2018-01-27 06:04
+0.01384486,2018-01-27 06:08
+0.03832578,2018-01-27 06:09
+0.02116658,2018-01-27 06:18
+0.02684848,2018-01-27 06:19
+0.02392723,2018-01-27 06:32
+0.02302602,2018-01-27 06:35
+0.04709005,2018-01-27 06:37
+0.01477942,2018-01-27 06:42
+0.02371081,2018-01-27 06:43
+0.03952161,2018-01-27 06:44
+0.03135828,2018-01-27 06:51
+0.02816426,2018-01-27 06:52
+0.0273963,2018-01-27 06:57
+0.01449031,2018-01-27 06:59
+0.02410492,2018-01-27 07:08
+0.02687026,2018-01-27 07:12
+0.0243805,2018-01-27 07:17
+0.0260816,2018-01-27 07:19
+0.03425331,2018-01-27 07:32
+0.02721708,2018-01-27 07:37
+0.02581342,2018-01-27 07:44
+0.02428178,2018-01-27 07:54
+0.0234983,2018-01-27 08:17
+0.02518031,2018-01-27 08:20
+0.02209788,2018-01-27 08:31
+0.04151419,2018-01-27 08:40
+0.01462672,2018-01-27 08:44
+0.0159866,2018-01-27 08:55
+0.02357639,2018-01-27 09:02
+0.02821012,2018-01-27 09:09
+0.01368861,2018-01-27 09:12
+0.06781688,2018-01-27 09:13
+0.02391041,2018-01-27 09:16
+0.01375333,2018-01-27 09:19
+0.03019098,2018-01-27 09:20
+0.02046105,2018-01-27 09:21
+0.01676189,2018-01-27 09:22
+0.0236354,2018-01-27 09:40
+0.03095907,2018-01-27 09:41
+0.03166012,2018-01-27 09:47
+0.02119034,2018-01-27 10:06
+0.02395129,2018-01-27 10:07
+0.0257581,2018-01-27 10:13
+0.0331616,2018-01-27 10:33
+0.02863666,2018-01-27 10:43
+0.01919194,2018-01-27 10:46
+0.02039581,2018-01-27 11:04
+0.02362129,2018-01-27 11:21
+0.02845444,2018-01-27 11:27
+0.05351346,2018-01-27 11:29
+0.01984206,2018-01-27 11:37
+0.02065468,2018-01-27 11:43
+0.02064416,2018-01-27 11:45
+0.02682135,2018-01-27 11:49
+0.02879661,2018-01-27 11:49
+0.01739623,2018-01-27 11:54
+0.02767671,2018-01-27 12:01
+0.0243755,2018-01-27 12:04
+0.01056861,2018-01-27 12:12
+0.02535057,2018-01-27 12:40
+0.03072484,2018-01-27 13:10
+0.01981023,2018-01-27 13:17
+0.02949283,2018-01-27 13:23
+0.02492528,2018-01-27 13:26
+0.02167175,2018-01-27 13:39
+0.03337306,2018-01-27 13:39
+0.02340658,2018-01-27 13:44
+0.03539526,2018-01-27 13:47
+0.02779164,2018-01-27 13:50
+0.02374991,2018-01-27 14:19
+0.02182455,2018-01-27 14:30
+0.02484618,2018-01-27 14:33
+0.01747505,2018-01-27 14:37
+0.02211452,2018-01-27 14:42
+0.0166832,2018-01-27 14:44
+0.02846103,2018-01-27 14:48
+0.02596571,2018-01-27 15:00
+0.02685335,2018-01-27 15:15
+0.0305902,2018-01-27 15:23
+0.04790339,2018-01-27 15:24
+0.01752668,2018-01-27 15:27
+0.01844523,2018-01-27 15:35
+0.02240542,2018-01-27 15:42
+0.01491385,2018-01-27 15:44
+0.03159845,2018-01-27 15:47
+0.02605914,2018-01-27 15:57
+0.03106496,2018-01-27 16:07
+0.02175284,2018-01-27 16:26
+0.02235889,2018-01-27 16:28
+0.03232894,2018-01-27 16:31
+0.02716724,2018-01-27 16:32
+0.01918503,2018-01-27 16:33
+0.06238455,2018-01-27 16:51
+0.02362207,2018-01-27 17:03
+0.02670803,2018-01-27 17:11
+0.02738556,2018-01-27 17:16
+0.02687665,2018-01-27 17:25
+0.02264541,2018-01-27 17:29
+0.01923372,2018-01-27 17:30
+0.02713234,2018-01-27 18:04
+0.03217301,2018-01-27 18:09
+0.01913293,2018-01-27 18:32
+0.02493086,2018-01-27 18:33
+0.01020582,2018-01-27 18:35
+0.01139989,2018-01-27 18:41
+0.02132116,2018-01-27 18:43
+0.02194361,2018-01-27 18:56
+0.0252391,2018-01-27 19:19
+0.02309972,2018-01-27 19:36
+0.02309132,2018-01-27 19:47
+0.02276806,2018-01-27 19:53
+0.02312379,2018-01-27 19:54
+0.01930206,2018-01-27 19:59
+0.02570878,2018-01-27 20:14
+0.02352919,2018-01-27 20:19
+0.01985389,2018-01-27 20:22
+0.01931525,2018-01-27 20:30
+0.02241688,2018-01-27 20:40
+0.02718449,2018-01-27 21:02
+0.02004858,2018-01-27 21:10
+0.02363038,2018-01-27 21:23
+0.01982419,2018-01-27 21:33
+0.02427202,2018-01-27 21:36
+0.01677563,2018-01-27 21:37
